,Microbe_0,Microbe_1,Microbe_2,Microbe_3,Microbe_4,Microbe_5,Microbe_6,Microbe_7,Microbe_8,Microbe_9,Microbe_10,Microbe_11,Microbe_12,Microbe_13,Microbe_14,Microbe_15,Microbe_16,Microbe_17,Microbe_18,Microbe_19,Microbe_20,Microbe_21,Microbe_22,Microbe_23,Microbe_24,Microbe_25,Microbe_26,Microbe_27,Microbe_28,Microbe_29,Microbe_30,Microbe_31,Microbe_32,Microbe_33,Microbe_34,Microbe_35,Microbe_36,Microbe_37,Microbe_38,Microbe_39,Microbe_40,Microbe_41,Microbe_42,Microbe_43,Microbe_44,Microbe_45,Microbe_46,Microbe_47,Microbe_48,Microbe_49,Microbe_50,Microbe_51,Microbe_52,Microbe_53,Microbe_54,Microbe_55,Microbe_56,Microbe_57,Microbe_58,Microbe_59,Microbe_60,Microbe_61,Microbe_62,Microbe_63,Microbe_64,Microbe_65,Microbe_66,Microbe_67,Microbe_68,Microbe_69,Microbe_70,Microbe_71,Microbe_72,Microbe_73,Microbe_74,Microbe_75,Microbe_76,Microbe_77,Microbe_78,Microbe_79,Microbe_80,Microbe_81,Microbe_82,Microbe_83,Microbe_84,Microbe_85,Microbe_86,Microbe_87,Microbe_88,Microbe_89,Microbe_90,Microbe_91,Microbe_92,Microbe_93,Microbe_94,Microbe_95,Microbe_96,Microbe_97,Microbe_98,Microbe_99,Microbe_100,Microbe_101,Microbe_102,Microbe_103,Microbe_104,Microbe_105,Microbe_106,Microbe_107,Microbe_108,Microbe_109,Microbe_110,Microbe_111,Microbe_112,Microbe_113,Microbe_114,Microbe_115,Microbe_116,Microbe_117,Microbe_118,Microbe_119,Group
Patient_49,56,65,65,64,67,63,64,63,62,50,46,63,63,68,66,66,43,69,67,47,67,54,64,65,63,67,65,63,74,48,65,62,65,64,66,62,64,70,65,62,64,42,61,66,65,67,11,46,23,66,63,51,63,45,44,52,64,50,48,49,65,46,65,65,71,66,64,46,21,52,66,67,63,61,42,67,68,65,62,48,64,45,65,64,64,69,64,48,65,68,66,20,49,27,48,65,66,64,46,48,67,70,64,57,22,66,48,59,40,47,64,67,66,46,44,46,48,62,63,65,control
Patient_50,83,74,73,54,71,56,64,74,57,60,64,76,71,61,71,63,48,67,72,57,70,55,62,65,72,70,68,56,74,82,73,64,74,56,59,71,62,60,72,54,69,59,50,68,74,72,82,78,78,73,56,79,67,62,57,66,69,53,82,77,73,53,49,68,62,61,62,60,82,54,68,63,52,67,79,76,74,71,51,84,75,77,70,66,68,61,66,50,64,69,77,80,44,79,43,72,70,51,55,80,65,64,68,54,82,75,59,76,83,80,74,56,73,49,77,51,65,49,68,55,control
Patient_51,66,63,65,48,64,48,61,68,49,29,32,69,63,51,68,48,45,65,69,36,65,52,47,61,64,67,60,48,58,64,62,59,66,46,51,64,47,58,66,44,61,23,46,66,67,66,66,53,73,69,48,56,67,28,38,32,63,42,70,52,67,39,50,63,54,47,58,31,63,40,65,63,49,56,70,62,63,66,51,54,62,73,63,62,66,50,62,49,63,64,66,71,50,72,47,63,65,52,42,70,54,46,66,47,65,63,40,53,63,70,70,48,64,49,50,39,30,47,62,52,control
Patient_52,53,57,58,49,56,48,56,59,49,61,55,58,56,48,58,50,46,55,56,52,58,46,49,57,57,58,58,49,54,49,57,54,57,49,49,59,57,50,60,48,56,55,47,58,59,59,25,48,19,58,50,49,58,63,52,56,58,48,50,48,56,47,48,59,47,48,57,57,26,56,58,56,51,53,40,59,56,55,49,50,57,46,60,58,54,52,54,44,53,55,56,25,49,26,43,56,56,50,48,45,52,50,56,51,28,56,51,51,25,45,56,52,56,44,40,45,58,48,57,41,control
Patient_53,65,60,59,67,64,67,62,62,65,59,62,63,60,65,64,63,47,57,60,55,58,47,65,56,60,58,60,65,67,67,61,63,65,71,64,61,63,65,61,65,60,58,64,59,60,60,64,57,69,61,64,59,60,62,51,65,58,54,69,60,62,33,66,58,62,66,59,61,63,56,60,58,65,61,71,63,62,59,66,59,63,68,60,63,61,64,60,36,59,56,58,70,38,67,41,63,60,63,52,69,64,62,56,68,65,59,52,57,68,66,61,64,62,36,59,48,60,67,54,55,control
Patient_54,66,60,60,53,61,56,65,63,54,37,38,64,62,54,59,57,42,58,65,41,63,48,56,63,62,61,66,56,65,65,64,59,62,53,58,61,58,50,61,53,65,39,49,61,65,61,65,71,62,63,56,70,61,40,37,33,66,44,63,70,64,52,52,63,58,57,63,41,68,35,65,60,52,60,57,64,63,63,51,69,62,61,63,63,60,54,63,39,63,65,62,58,45,61,50,61,66,55,41,60,57,57,63,56,65,60,42,71,66,62,62,55,64,42,70,39,45,53,60,55,control
Patient_55,63,65,65,57,71,60,61,65,56,45,42,64,68,62,65,59,41,63,63,38,59,51,60,57,66,62,60,59,68,62,64,59,65,60,59,69,62,71,64,62,62,48,58,64,63,66,61,69,66,65,59,63,60,48,45,51,62,44,62,67,68,42,60,61,62,63,62,49,61,49,64,59,60,60,59,67,68,69,60,61,68,64,60,63,61,60,59,50,59,59,62,62,38,64,54,62,58,63,43,61,60,60,57,53,62,62,44,71,64,64,63,63,67,47,68,42,39,59,60,58,control
Patient_56,55,58,58,63,56,66,60,55,64,61,61,56,59,66,56,66,42,62,58,63,59,52,65,63,58,59,61,64,57,52,58,63,57,63,69,58,63,52,57,64,63,59,65,58,62,60,9,55,21,60,64,55,59,62,55,61,60,57,55,51,56,42,62,62,68,66,61,63,18,62,57,59,65,65,47,61,59,57,61,55,61,54,59,60,63,67,65,40,63,61,60,10,38,24,34,61,62,65,48,22,67,69,61,68,13,61,51,56,26,21,58,64,60,41,27,54,54,63,64,71,control
Patient_57,56,61,64,62,59,58,60,61,63,39,43,61,57,55,59,62,46,59,59,47,63,52,60,59,62,61,61,60,59,61,59,62,60,59,60,64,61,59,61,58,61,48,63,64,59,60,64,57,55,61,62,56,60,45,39,38,60,48,48,60,59,46,64,60,61,59,62,45,61,39,59,64,63,59,45,58,62,60,64,62,59,58,61,62,59,59,60,39,60,57,58,65,44,53,53,61,59,61,51,35,57,56,60,61,64,61,47,52,35,22,61,60,61,47,28,48,40,63,60,57,control
Patient_58,57,66,67,59,66,57,61,73,58,38,48,69,64,52,68,56,33,72,69,43,67,60,57,62,66,68,60,57,64,56,69,57,68,59,52,65,50,60,71,58,65,36,47,66,72,67,53,63,57,72,52,53,66,48,39,41,67,43,59,64,68,34,53,66,55,54,59,44,51,37,69,65,53,60,48,68,68,67,55,63,69,55,68,62,64,59,61,30,56,67,69,56,35,50,34,72,69,56,35,49,60,54,68,53,49,69,34,56,41,41,65,55,67,30,37,35,47,53,67,41,control
Patient_59,96,65,66,64,66,61,63,64,61,43,44,66,65,60,65,61,44,64,67,42,68,55,63,62,65,65,63,60,61,96,64,62,67,58,61,69,62,53,67,62,63,45,60,65,66,65,97,90,97,66,64,89,65,35,45,43,64,45,96,89,66,46,64,64,58,64,61,45,96,46,64,61,64,57,92,65,64,65,62,88,66,98,66,63,63,64,61,49,61,62,66,95,53,96,48,65,65,60,45,93,60,62,63,66,97,64,41,89,97,98,67,60,64,44,88,44,50,64,63,65,control
Patient_60,59,63,61,50,63,56,56,63,55,44,42,65,59,53,60,55,48,61,58,34,58,49,55,60,63,59,58,55,62,49,62,55,61,55,52,63,52,59,62,53,61,38,55,62,63,63,32,57,36,62,54,58,61,39,41,49,59,39,57,51,62,48,56,63,55,54,59,43,35,43,60,59,55,56,48,61,61,62,54,57,65,51,58,58,60,55,56,46,59,58,61,45,49,34,41,63,62,54,40,7,53,53,60,49,28,65,42,57,5,13,59,55,61,49,12,38,51,56,62,56,control
Patient_61,87,60,62,53,60,53,60,64,54,37,38,62,60,52,58,55,49,58,63,38,61,46,57,56,57,58,58,52,63,87,61,59,63,52,52,58,53,57,63,52,60,41,51,59,59,58,86,72,91,62,54,73,62,42,37,37,57,36,91,73,62,53,57,54,51,55,56,38,82,29,58,57,53,52,93,60,62,61,52,74,60,91,62,61,60,50,58,48,57,61,61,89,46,89,46,60,60,51,36,91,52,56,59,59,88,60,37,70,84,88,60,52,60,52,73,43,37,57,55,57,control
Patient_62,55,58,56,56,54,56,57,54,55,38,35,60,54,54,57,53,47,52,52,41,54,47,56,58,55,54,56,55,52,54,55,57,52,56,54,57,59,55,55,55,54,41,53,61,53,58,38,59,40,53,55,58,57,29,40,36,55,37,55,59,56,44,59,56,55,56,60,35,36,42,57,57,57,57,46,53,52,51,60,53,55,56,56,59,54,52,56,47,59,54,54,47,43,43,45,58,56,54,46,39,51,57,55,62,48,54,48,54,43,32,54,57,56,51,33,45,36,59,54,54,control
Patient_63,74,60,59,74,60,75,67,59,70,40,42,62,61,67,57,75,36,62,58,55,65,52,74,68,62,62,68,72,56,72,61,68,61,69,73,60,74,78,63,72,67,43,72,63,67,61,76,67,76,62,74,66,63,50,51,48,65,52,75,66,59,32,73,65,75,72,70,46,76,51,63,67,73,66,75,61,59,57,74,67,57,77,65,65,60,73,70,36,66,60,60,74,33,76,33,58,61,72,52,73,72,73,64,66,74,60,55,67,74,76,58,72,56,37,65,49,45,71,67,64,control
Patient_64,53,61,63,67,65,68,67,62,68,58,57,60,62,70,66,68,46,70,62,47,68,57,69,70,63,67,65,69,63,47,64,66,62,68,73,65,70,62,67,64,67,54,63,68,64,64,36,41,31,67,68,47,66,53,48,58,68,44,54,42,63,40,66,68,73,67,67,54,36,57,70,70,65,65,39,66,64,62,67,41,63,45,67,64,68,73,69,41,70,65,63,38,38,32,46,63,64,67,46,45,74,71,67,62,41,64,45,52,40,54,64,71,62,49,43,48,52,64,71,71,control
Patient_65,74,67,67,53,66,52,66,66,53,29,33,65,65,51,68,52,58,70,65,44,67,53,50,61,62,71,62,52,66,69,60,62,68,55,48,64,52,53,67,57,62,36,50,65,66,67,72,63,77,67,49,59,66,42,43,31,64,44,73,62,66,58,54,65,45,52,59,34,69,31,67,65,52,62,71,64,64,66,52,59,66,77,67,62,66,54,62,59,61,63,67,72,51,78,58,64,68,45,46,73,52,53,63,55,74,66,50,64,66,77,65,51,63,58,62,51,27,52,65,46,control
Patient_66,71,72,75,63,71,60,65,70,59,47,40,72,71,60,72,60,48,69,71,33,68,52,60,62,72,68,64,58,69,72,67,61,70,61,61,73,63,59,67,58,68,32,61,67,65,75,69,70,67,70,59,74,66,35,35,37,63,37,67,71,70,45,60,67,59,61,62,34,73,40,68,64,60,61,68,69,70,73,61,77,70,67,64,65,68,62,59,49,63,68,70,67,46,69,47,71,66,55,44,69,60,59,63,61,72,70,40,67,69,69,71,59,72,50,67,46,35,59,68,58,control
Patient_67,80,60,59,52,61,55,62,61,55,43,45,60,59,56,59,54,40,58,62,44,59,50,55,58,57,60,62,54,60,78,59,59,62,57,58,59,56,48,62,47,59,41,51,62,58,61,78,69,78,61,53,74,64,40,38,48,63,40,79,70,60,41,51,58,55,61,60,45,75,41,60,61,52,58,75,60,60,57,54,74,58,80,62,61,64,61,63,45,61,61,61,78,35,81,42,59,62,51,36,77,55,58,60,56,80,58,48,66,75,80,61,56,62,43,66,39,49,51,59,57,control
Patient_68,58,59,60,77,61,73,62,62,71,48,54,61,57,73,62,74,48,61,55,49,61,52,72,58,61,60,60,73,61,50,61,65,61,73,72,58,71,68,61,74,58,55,75,60,58,61,45,54,35,60,75,53,62,46,47,53,60,49,58,53,60,54,78,61,72,72,62,47,33,38,59,62,75,61,48,60,62,58,80,48,59,56,59,62,59,69,63,54,60,59,59,45,52,37,53,62,59,75,48,37,68,73,60,69,32,59,54,63,45,37,62,75,60,53,39,57,50,76,56,74,control
Patient_69,65,69,70,57,66,55,67,69,55,49,48,68,65,53,71,54,42,69,67,47,72,58,54,70,69,68,67,54,64,65,68,66,63,56,49,69,54,49,68,56,68,50,55,69,67,69,63,63,66,66,50,61,70,53,44,53,66,48,72,57,67,46,54,70,51,53,69,46,64,45,72,68,58,62,71,64,64,70,55,61,63,69,69,68,68,58,66,40,69,68,64,71,42,69,40,69,69,54,35,72,56,57,68,53,65,66,40,59,62,64,65,57,66,40,62,53,40,52,71,53,control
Patient_70,49,59,57,64,57,62,56,58,67,48,42,58,60,55,57,57,31,59,59,43,59,46,56,59,64,57,60,61,55,47,58,59,57,63,63,60,55,65,55,63,63,51,67,60,58,59,26,43,26,58,65,48,57,48,47,51,60,45,53,40,57,36,66,60,60,56,61,49,42,43,57,59,66,60,42,56,58,62,66,39,53,46,53,59,58,57,59,35,61,55,58,24,33,33,32,55,53,70,43,7,56,55,57,62,36,59,41,53,18,30,62,57,57,33,20,47,45,63,61,55,control
Patient_71,53,62,66,57,65,55,65,61,55,51,50,61,65,61,64,56,43,63,63,49,62,52,61,62,63,61,62,58,63,64,63,63,62,59,59,64,54,58,62,57,63,55,57,60,58,61,21,62,20,63,54,61,61,48,50,55,64,49,55,55,64,42,55,62,59,56,63,49,20,54,61,62,55,61,47,65,64,64,56,59,63,59,63,64,65,59,59,40,60,62,61,15,45,15,37,61,62,56,46,31,58,56,63,57,18,63,50,51,39,44,64,56,65,44,37,50,51,57,63,58,control
Patient_72,50,69,72,61,69,61,71,73,62,48,51,68,69,57,70,58,46,72,75,54,73,59,58,68,68,74,70,59,65,51,67,68,69,61,55,69,60,56,74,60,71,44,54,73,73,69,50,41,51,73,56,43,72,55,45,47,71,49,51,41,69,47,57,71,58,58,68,50,49,48,70,72,58,68,51,67,70,69,58,42,66,53,76,68,71,62,66,54,70,72,73,50,53,53,56,70,72,54,58,50,61,59,75,59,52,71,51,40,48,51,70,56,69,52,39,54,54,55,70,54,control
Patient_73,68,61,62,59,61,58,60,58,55,47,43,58,61,58,65,59,43,63,62,48,63,53,55,62,57,61,61,56,65,69,60,60,61,60,54,58,56,43,59,57,59,44,56,59,57,60,71,81,66,59,51,84,59,47,46,46,58,50,66,78,60,44,53,60,60,57,60,45,74,52,61,58,54,58,70,62,64,64,58,81,59,65,58,58,63,62,58,37,59,64,63,68,44,68,39,62,61,52,50,69,60,59,60,57,67,61,51,81,71,69,62,56,61,39,78,47,49,54,62,58,control
Patient_74,52,63,65,63,65,65,69,63,61,47,41,64,61,68,65,68,51,67,63,43,67,56,66,63,61,66,66,67,66,47,62,68,63,65,70,63,67,65,66,64,65,47,63,70,64,65,31,45,38,65,63,52,64,41,45,45,62,48,53,40,62,45,62,66,65,67,68,45,41,50,66,68,62,66,42,62,64,63,63,40,62,43,68,66,64,68,66,50,63,68,61,40,40,35,48,66,68,61,47,28,67,70,66,62,33,64,40,54,33,40,59,69,64,52,31,41,38,63,65,67,control
Patient_75,65,67,67,53,65,57,65,70,60,32,28,70,65,58,64,58,51,65,71,44,67,50,58,62,64,65,64,55,66,64,66,63,66,61,58,63,58,55,69,56,67,38,53,64,67,64,67,73,54,69,56,77,65,33,45,30,66,44,58,77,65,52,58,64,60,58,61,36,68,34,67,67,55,60,59,65,66,63,54,77,66,55,67,62,67,61,66,46,66,68,73,56,47,59,44,65,68,54,41,57,63,61,68,58,64,69,44,72,69,62,65,58,69,44,71,44,33,50,68,61,control
Patient_76,74,63,64,62,64,62,57,60,64,51,50,64,59,64,62,63,44,62,59,53,62,49,62,57,60,60,57,66,62,73,63,53,60,60,61,60,64,59,61,59,58,47,63,62,61,59,73,69,69,60,57,71,59,50,50,49,57,51,70,74,59,49,62,59,64,66,58,48,74,52,61,59,63,56,69,61,62,60,64,75,61,71,58,60,57,66,55,44,54,57,59,67,51,71,45,62,61,57,42,67,65,65,57,62,72,61,46,67,75,71,57,63,58,44,66,43,47,60,59,61,control
Patient_77,63,66,65,61,63,58,64,67,58,56,53,71,63,62,66,57,52,63,64,56,62,50,58,64,68,65,62,59,69,66,61,66,64,59,61,65,58,62,63,62,63,49,63,64,62,65,64,89,57,65,65,91,64,52,51,50,64,51,62,90,66,52,65,61,59,60,61,54,70,52,67,66,60,62,61,65,63,64,63,90,69,62,62,67,65,51,64,50,63,63,65,64,49,61,46,69,66,60,57,63,58,55,61,56,62,64,55,93,69,63,65,57,66,50,91,52,51,60,62,62,control
Patient_78,84,61,64,48,58,51,63,63,52,43,46,61,57,52,59,49,37,64,61,37,59,47,50,60,61,64,62,53,58,87,56,66,57,53,50,57,55,55,64,48,61,45,48,67,54,59,83,83,87,63,48,79,61,38,45,46,61,37,85,79,57,45,49,60,51,50,59,46,80,44,60,62,54,56,92,57,59,61,54,76,57,84,62,62,62,50,59,34,63,61,58,88,31,83,43,59,60,49,34,90,50,50,62,50,84,62,37,82,85,83,62,55,62,41,86,36,38,50,61,52,control
Patient_79,79,70,73,56,71,56,66,71,53,21,24,75,66,55,72,55,56,65,69,36,65,54,55,61,71,67,62,54,71,82,65,60,69,56,55,70,57,63,69,58,61,29,54,66,69,72,81,73,79,71,51,73,68,24,35,20,64,37,79,73,68,46,57,66,52,57,59,20,81,28,66,64,57,59,80,67,72,69,58,75,71,78,64,63,69,57,59,55,63,67,71,79,52,81,52,71,67,49,41,78,53,56,60,54,79,68,38,71,81,80,70,54,71,51,72,46,18,56,62,50,control
Patient_80,56,68,67,58,68,54,68,70,56,43,43,66,66,53,68,55,52,63,70,40,67,52,56,65,66,66,65,55,68,53,68,60,65,59,51,66,57,54,68,55,66,43,55,65,67,64,20,46,18,66,53,48,69,42,42,41,66,38,52,44,67,47,54,67,52,53,62,39,24,40,64,65,56,60,43,67,66,66,56,43,67,50,64,66,65,54,62,49,67,69,70,19,44,18,45,67,64,55,46,25,55,52,67,56,22,67,48,59,24,21,69,55,66,55,30,47,34,53,64,54,control
Patient_81,75,56,56,58,57,55,56,57,56,37,45,59,56,56,57,63,53,60,57,48,60,48,60,59,56,57,54,60,57,74,56,54,55,61,54,58,59,50,55,54,53,46,52,55,60,57,73,64,72,57,52,64,57,40,42,37,60,44,74,66,54,47,48,60,58,58,55,42,73,41,57,55,53,57,77,58,55,58,51,68,55,78,58,57,58,67,57,47,54,56,59,73,45,76,50,59,60,51,47,73,66,64,57,58,74,59,47,59,73,76,56,57,59,53,59,49,39,52,59,54,control
Patient_82,50,62,63,51,63,51,58,68,49,42,43,67,63,53,64,55,41,62,67,47,60,45,55,53,61,60,57,50,59,58,63,55,66,47,54,64,53,53,65,48,57,42,51,62,63,64,34,50,44,64,54,50,59,43,49,40,58,44,53,54,65,43,49,57,58,54,54,43,40,45,60,57,50,51,36,63,65,66,51,46,64,51,61,54,60,54,55,38,52,60,64,40,43,37,43,62,59,48,41,25,54,54,57,48,23,60,40,50,33,19,65,53,60,38,20,40,38,50,58,43,control
Patient_83,75,51,49,53,50,53,50,48,56,48,53,48,50,51,50,51,43,52,47,40,53,41,49,53,50,53,49,51,47,77,48,51,50,51,52,48,49,56,49,49,52,44,51,50,49,49,75,86,73,51,50,92,54,49,45,44,52,46,71,88,50,43,54,49,51,51,49,48,78,49,53,51,54,50,69,52,49,49,55,89,51,73,51,54,52,52,52,33,50,49,50,72,40,72,39,48,55,54,39,70,51,52,52,53,76,50,38,85,78,74,51,52,48,43,83,41,40,53,55,54,control
Patient_84,66,62,63,53,64,57,57,59,52,47,48,62,63,56,63,56,39,57,61,43,56,45,53,51,64,57,53,55,67,65,60,50,61,57,59,66,60,52,57,53,61,55,58,57,60,62,65,64,67,61,58,63,54,53,38,49,56,43,67,63,61,39,53,58,55,57,58,51,66,53,55,50,56,58,69,64,67,66,56,63,61,66,54,56,56,56,52,37,53,58,60,68,35,68,40,61,52,52,41,67,51,55,52,56,66,61,42,62,64,67,64,56,65,42,61,44,51,52,61,55,control
Patient_85,77,63,66,73,64,71,65,61,70,43,46,64,61,72,63,74,49,68,62,48,66,53,70,66,68,65,61,70,64,74,64,61,62,70,73,65,77,68,61,71,66,39,74,64,63,65,75,66,81,65,71,64,63,43,49,41,62,47,80,65,61,47,71,65,77,71,65,47,69,49,64,65,70,66,76,62,64,66,75,68,58,83,63,63,62,75,63,50,61,63,62,78,45,83,47,62,60,70,58,78,75,72,62,77,78,66,49,65,69,76,63,74,61,46,61,52,43,69,67,69,control
Patient_86,64,56,56,66,55,65,66,55,63,44,47,55,58,59,56,63,46,60,60,47,60,49,62,63,55,60,66,62,59,62,58,65,57,67,62,56,63,55,58,64,61,49,70,61,58,54,67,65,62,56,66,59,59,50,42,47,62,47,61,66,55,45,64,60,65,64,68,45,62,46,57,63,66,66,62,54,60,57,69,62,54,64,61,62,59,64,61,43,68,65,54,60,52,64,47,54,58,67,45,60,57,60,61,65,64,54,41,67,61,66,56,64,55,48,62,44,53,68,61,64,control
Patient_87,54,69,66,43,68,44,65,71,44,36,42,69,68,50,70,45,50,66,73,41,65,50,49,59,68,66,61,42,67,63,67,60,70,48,47,67,45,46,67,44,67,39,37,68,68,70,40,59,39,69,41,60,64,39,48,42,67,46,55,59,67,45,38,65,49,45,63,40,48,44,65,63,37,58,46,68,70,68,39,62,69,60,64,62,66,47,62,46,61,67,70,40,44,50,43,67,65,40,47,48,53,46,66,42,34,68,46,51,43,39,70,43,71,48,43,44,36,41,66,45,control
Patient_88,53,61,61,66,64,69,66,60,63,47,47,60,61,70,61,67,40,66,62,42,65,55,68,65,58,62,65,64,61,50,63,65,62,61,66,62,68,61,62,66,66,48,64,62,62,59,40,53,38,60,63,56,63,46,47,52,63,45,47,51,62,42,59,63,69,69,67,47,28,43,59,63,61,69,43,62,60,59,62,50,61,55,63,64,62,70,63,45,63,68,60,31,39,43,37,59,62,64,37,27,73,67,62,68,42,61,45,49,27,17,61,68,61,43,26,42,48,62,64,66,control
Patient_89,56,60,58,70,54,68,63,55,71,38,38,59,55,69,56,70,39,62,59,37,61,56,71,65,60,61,63,72,53,48,59,66,54,67,71,59,67,73,59,71,64,40,71,65,61,59,8,47,20,60,71,54,61,42,48,44,62,40,53,49,59,34,71,63,68,70,65,39,25,40,61,65,72,64,45,56,53,55,70,50,56,47,61,65,56,68,66,40,63,58,55,15,40,26,38,59,60,76,44,15,68,69,61,60,28,56,42,59,15,21,59,69,54,42,22,45,42,73,64,70,control
Patient_90,77,59,59,60,59,64,67,62,62,45,47,61,62,62,57,60,54,61,61,40,63,55,58,69,60,61,67,62,61,81,59,67,61,60,64,59,61,74,64,64,61,47,59,63,61,59,80,82,76,62,62,87,63,46,46,42,69,44,74,83,63,46,63,65,58,65,67,46,78,42,61,65,63,67,80,62,59,58,63,83,61,76,68,67,66,59,65,56,70,63,61,78,54,79,58,58,66,56,52,77,60,65,64,59,78,61,45,81,76,78,61,60,59,52,76,47,51,61,62,65,control
Patient_91,76,62,64,58,66,60,65,66,62,60,65,65,65,62,64,64,40,67,67,57,71,53,64,62,61,68,66,60,63,75,66,62,64,60,66,65,63,49,67,59,63,60,58,66,65,63,73,71,70,68,55,75,66,62,57,61,66,56,77,71,63,39,54,65,67,62,63,59,77,60,66,67,56,64,77,63,66,63,56,70,64,75,68,63,66,67,64,42,66,69,65,76,41,75,34,64,66,58,54,76,67,67,65,60,74,66,50,69,76,74,64,62,64,43,66,51,60,57,67,65,control
Patient_92,72,66,69,60,68,59,66,65,58,49,49,67,68,61,67,56,45,65,66,49,65,52,60,61,66,63,64,57,71,74,67,70,70,60,62,66,61,60,63,64,66,43,58,63,63,67,71,55,77,66,62,63,64,46,52,48,64,50,84,59,71,40,64,62,58,56,65,49,69,41,65,67,64,65,81,65,69,67,64,65,67,83,64,66,66,53,65,43,65,65,65,80,36,83,46,66,61,62,52,79,57,57,62,63,73,64,49,50,67,74,66,61,67,40,51,54,54,65,64,66,control
Patient_93,49,69,68,42,70,46,62,74,45,47,52,72,70,47,72,45,46,71,74,50,68,52,44,61,69,68,59,46,69,44,71,50,70,48,44,72,44,38,70,39,66,50,44,66,71,71,35,40,21,73,39,42,66,52,55,51,67,47,51,38,68,53,41,67,48,44,60,52,26,43,67,61,45,57,37,69,75,75,42,43,66,38,66,60,67,51,56,50,62,69,71,28,45,24,48,70,68,40,52,13,51,45,64,47,19,72,54,51,17,23,71,46,73,44,19,57,47,36,65,46,control
Patient_94,66,61,60,48,63,47,59,59,44,37,45,59,58,55,60,51,51,60,61,43,61,46,52,56,58,59,55,48,61,59,60,55,62,44,52,57,51,54,59,48,55,39,45,59,61,59,38,58,32,61,47,56,59,42,43,41,57,42,57,60,62,55,46,57,54,50,54,41,32,40,58,55,45,57,50,60,62,59,47,57,59,50,60,56,58,49,54,48,52,57,58,40,50,34,50,61,57,45,43,44,55,51,55,48,36,59,48,68,33,37,59,51,57,53,37,45,38,50,58,45,control
Patient_95,50,62,64,63,63,61,65,59,59,36,36,62,61,61,64,65,49,69,64,36,68,54,65,69,58,62,64,62,63,41,65,63,63,57,63,61,64,54,63,61,67,33,61,64,65,63,42,38,45,61,58,40,64,34,41,41,64,34,54,37,62,45,59,65,63,60,66,36,45,36,65,63,58,62,37,63,62,61,59,40,63,42,68,63,64,67,65,55,63,68,62,43,53,38,46,63,66,58,35,38,69,66,64,58,28,64,38,53,42,29,61,65,61,46,14,34,36,60,66,63,control
Patient_96,77,56,54,61,56,60,60,57,58,50,54,56,52,61,57,61,34,55,56,54,58,48,62,61,54,56,59,64,55,77,58,62,51,60,60,56,62,53,57,58,58,50,56,58,58,56,78,79,78,54,59,81,56,55,53,58,61,51,78,78,52,35,56,60,58,63,61,53,78,53,61,59,58,60,76,56,54,55,56,79,54,76,59,60,58,62,60,41,57,55,54,76,33,78,37,55,63,53,51,77,60,63,59,54,77,55,54,79,79,77,52,63,54,36,78,50,52,56,60,63,control
Patient_97,64,47,47,57,51,57,53,48,60,51,46,49,49,57,50,61,53,52,50,44,52,47,58,56,47,51,53,58,50,65,53,55,50,59,55,46,58,51,48,58,50,46,59,50,55,49,59,61,66,48,58,63,51,48,51,53,51,52,68,61,51,46,61,53,58,57,53,50,61,49,51,54,57,57,68,51,50,48,55,61,50,68,55,50,51,62,53,50,55,53,49,68,49,68,46,53,53,61,44,69,59,64,53,57,65,49,50,58,61,63,45,61,48,46,56,41,52,59,53,55,control
Patient_98,56,56,59,42,62,45,59,58,41,47,46,61,63,48,62,45,45,54,63,47,55,38,41,50,59,54,54,42,64,56,59,52,61,41,44,60,47,44,59,47,54,48,43,53,57,57,34,61,50,59,48,61,57,45,42,44,57,44,54,60,62,48,41,55,42,44,56,46,34,47,58,53,43,54,51,61,64,60,41,62,60,57,53,56,61,42,50,49,59,58,58,36,51,41,51,59,58,43,47,37,43,39,55,54,35,54,45,56,35,52,62,41,60,52,45,47,45,46,51,49,control
Patient_99,65,65,59,53,63,53,57,61,53,54,46,63,64,56,59,56,49,60,63,51,63,50,57,59,59,59,59,51,66,66,63,61,62,56,54,60,57,52,58,50,62,51,48,58,63,62,66,63,59,61,48,69,59,52,50,46,58,53,63,63,62,44,45,60,58,55,59,52,68,55,60,58,47,61,63,64,65,61,48,67,64,62,59,58,64,62,61,53,61,64,64,62,51,63,47,63,63,48,55,61,61,59,60,53,64,64,49,61,66,64,57,55,64,54,60,55,51,50,62,58,control
Patient_100,53,62,61,43,59,44,54,61,44,50,56,58,56,47,62,47,48,57,60,53,60,45,46,50,61,60,50,44,57,58,58,45,59,45,47,60,43,44,58,44,55,54,45,57,60,62,14,54,1,60,43,54,58,51,54,51,54,59,48,57,57,48,45,58,48,47,53,53,22,59,57,52,41,48,43,59,58,61,43,54,59,50,55,50,57,48,52,42,51,56,58,15,51,22,46,61,54,46,50,48,48,51,53,43,22,58,51,48,40,46,59,47,61,46,60,53,53,42,57,53,control
Patient_101,81,52,54,67,50,64,53,49,66,51,57,50,51,58,49,65,46,53,50,55,55,48,64,59,56,54,57,64,48,86,50,55,46,63,63,53,62,68,50,66,54,52,64,52,50,50,85,84,77,52,66,85,52,57,57,51,54,56,79,82,50,48,71,54,65,59,53,54,86,50,51,54,67,53,83,52,50,52,70,84,49,78,52,53,51,61,54,48,54,51,47,80,37,80,42,51,51,66,53,80,61,62,52,62,82,51,60,85,87,82,55,63,49,44,87,54,49,70,55,55,control
